Error number: Text: Cause: Remedy:,,,
1:2063,TBI error 2063 Error during the function chdir,"TBI can occur with the call AUTgetlinkedObjects. There should be an
AUT API tracer in the meantime.",
,,"Possible the modem is sending too much information to the TS adapter
so that it doesn't get the CONNECT. (Occurs with V5 adapters)","Add W0 to the Initstring in the adapter (this suppresses the sending of
extended data)"
,,"If you attempt to get connected via long telephone routes (abroad), then it
might happen that some feedback messages have too long a runtime.","In TeleService under Options -> Settings -> Monitoring Times, change the
value for Acknowledgment/Signal from Automatic to 5000ms / 4000ms."
295:20484,"There is not installed a modem which is
compatible with teleservice.",,"Install a suitable modem and set the modem to correspond with your
configuration. Define the TeleService-specific properties of your installed
modem in the menu command Options > Settings."
295:20486,"The TAPI-Order was closed with the error ""Order
failure"".","Basically communication between (local) PC and modem (via the serial
connection) is not correct or cannot even be started.","Check the connection between the (local) PC and modem for both hardware
and software/driver faults."
,,"Under Windows (Start --> Settings --> Control Panel --> Modems) an
incorrect (or no) modem driver has been installed, which does not work in
conjunction with the modem connected.","Install the appropriate modem driver for this modem. Also set this new
modem in TeleService under Set Connection ---> Modem (double-click the
telephone book entry and then select the Modem item)."
,,"The wrong modem driver was selected under TeleService from the
selection list of modems that are already installed under Windows.",Set the correct modem driver in the selection list.
,,The modem is not connected to a serial interface (or to the wrong one).,Connect the modem to the correct serial interface.
,,The modem is switched off.,Switch on the modem.
295:32768,"TAPI-subsystem dues supply not expected error
code <TAPI-Error-Code>",,
,,ALLOCATED 0x80000001,
,,INVALDEVICECLASS 0x80000023,
296:5309,"The variables of the instance data block which
contain system attributes for messages are not
aggree with the variables in the function block.",Clearance: check the function block and save it again if necessary.,
Error number: Text: Cause: Remedy:,,,
300:13,Data basis could not be started.,"Occurs as a consequence of message 256:94 and details 256:24/256:63
when executing the function ""Reorganize"" or ""Save as… with consistency
check"".
This occurs when a link is lost in the SYBASE database.","The problem can be solved by deleting the file AMDBASE.LOG. Search in
your project path for the log file of the SYBASE database (Amdbase.db).
WARNING: if this file does not exist, then search the project for LOG or LOC
files."
,,,"If you cannot find this file, then proceed as follows.
Restore the log file by entering the following start line via ""Start/Run..."" on
the Windows user interface:
dbsrv50 -f D:\..Project path..\Project\AMOBJS\Amdbase.db
For example, for the ""Deissw01"" project on drive ""C"" in the standard STEP 7
project directory you enter
dbsrv50 -f c:\Siemens\step7\S7proj\deissw01\Amobjs\Amdbase.db
The -f (force) switch has the effect that the DB file is recovered to the last
status saved even if the necessary log file is not available."
,,"Occurs after dearchiving a project in STEP 7 V5.0. It has been created in
the version V4.02.x.",After <Save as...><with reorganization> again clears the problem.
314:8,"At least one of the selected variables cannot be
inserted at this point.","If, while you are processing a project in STEP 7 V5.3 which has been
created with STEP 7 V5.1 and the error message described above
appears in the LAD/STL/FBD editor when you insert a declaration line
within an FB or FC, please check the names of the formal parameters in
the declaration line for the block in question. This could be due to the fact
that the name ""Ret_Val"" has been assigned to a formal parameter (IN,
OUT, IN_OUT, STAT or TEMP variable).","In this event, the name ""Ret_Val"" must be renamed.
1. From STEP 7 version V5.2 onwards, users may no longer define the key
term ""Ret_Val"" for the formal parameters. Version V5.2 still supported the
entry ""Ret_Val"" in the declaration line in STEP 7 projects which were
created in V5.1 and did not stop the block.
2. However, STEP 7 version V5.3 no longer supports the name ""Ret_Val"" in
the declaration line, and the behavior described above occurs."
724:21,"OM TD/OP: Data basis conflict of version
file: C:\[step7-pfad]\[Projektname]\S7TDOP.DBF
has the version 50000.
This program expected the version 10000.","The versions of STEP 7 and ProTool are incompatible with those of the
project. STEP 7 is V4.02.x and ProTool V5.",Upgrade STEP 7 to V5.x or deinstall ProTool and install V4.02 of ProTool
1230:1001,Opening of the station failed.,,
1230:2001,Unable to insert the object.,"You have tried to slot an object that is not available (e.g. the header for an
object group or module class).","Select an object (subrack, module, interface module...) from the hardware
catalog, which you can slot in the required location."
Error number: Text: Cause: Remedy:,,,
1230:2009,"Changes cannot be made. Save your changes in
other applications","The error message indicates that access to the object is not possible at
the moment and that the object could not be blocked. This error message
can have various causes:
1. The object is currently being processed by another application or user
and has therefore been blocked.
2. There is insufficient memory available.","The following steps permit you to process the object:
1. Save the changes made in all other applications and make sure that no
other user is currently processing this object.
2. Make sure that there is sufficient virtual memory on your computer, see in
this case the informations of the Readme file of STEP 7 by 3.2 Memory
Requirements.
Notes:
Please consider the requirements of the actual installed STEP 7 software in
refer to your PC, which are described in the readme file."
1230:2015,Creating the configuration data failed.,Hard disk is full.,Deleted all the unnecessary files on the hard disk.
,,"No folder ""...SIEMENS\STEP7\S7TMP"" available or the folder is write-
protected.","Remove the write-protection from the folder ""...SIEMENS\STEP7\S7TMP"" or
create the folder."
,,S7 program or M7 program container is missing.,Create S7 program or M7 program container.
,,Defective project?,"Use ""Save as... with reorganization"""
,,"The compilation (= creation of the configuration data) has been
interrupted.",Reinstall STEP 7.
,"Error attempting to generate the configuration data.
Message refers to the V2-projects by Save as with
Reorganization.",Subnet addresses of different networks are identical.,"Check the subnet addresses and make appropriate corrections in the case
of identical subnet addresses."
1230:2016,No changes can be made in this station.,No more modules can be inserted in the HW Config.,"Use ""Save as... with reorganization"" for the project. Please see also the
instruction by the error message 256:92."
1230:2018,"Another application made changes to your station.
Close this station and re-open it.","Another S7 application has changed, for example, via network, the station
currently being processed. The changed objects (subrack, modules,
slaves, etc.) can no longer be displayed.
The station has been blocked for further processing.","You can remove the block by closing the station and re-opening it. This
makes the changes of the other application effective."
1230:3000,"The system data could not be recreated because
the configuration is inconsistent.",,Check consistency.
2508:1099,"Error by programming of error diagnostic data for
<name of variable>.","Group message, behind it detailed messages are listed that occurred
during the last function executed.","Please press the ""Details"" button and analyze the detailed messages."
Error number: Text: Cause: Remedy:,,,
2517:5,The start of an application has occurred an error.,"Message appears when opening a HIGRAPH source.
With the following software constellation:
STEP 7 V5.0 + SP 3
S7-HIGRAPH V4.01.1
S7 project created with S7-Higraph V5.x",Cleared with K4.01.2.
2665:4156,"Because of the changes made to the configuration,
the configuration file for this SIMATIC PC station
has to be created again with NetPro. To do this,
use the NetPro menu command ""Network > Save
and Compile ...""",,
2760:11,communication to higraph cannnot be accessed,,
2775:777,Address is not correct.,You have selected a user address that is already occupied.,Please select another address or connect your user to another subnetwork.
2775:785,"The bit rate of 187,5 kbit/s for the modul MBK-P is
not supported in station SIMATIC 400(1).","In STEP7 V5+SP3 and higher the baud rate must not be written with a
comma, e.g. 187,5_supp =1","Open and edit the file: enter '187.5_supp =1' instead of '187,5_supp =1'.
Execute Options -> UPDATE CATALOG."
2775:1829,"The data management of ""Set PG/PC interface""
can not save the requested value.","An attempt was made to save a parameter value in the database of the
program ""Set PG/PC interface"". This write procedure could not be
concluded successfully.",
2775:1860,"Caution: there are other active nodes (sender
parameter assignment master) in station %1 which
also have to be reloaded.",,
3020:13,"File name entered is not valid, or
Project is invalid,
if you attempt to open a project.","This message appears when you stored your project on a network drive
which is connected to the following path via the Internet Explorer or a
logon script:
\\<Servername>.<DNS-Suffix>\<Share> (Example:
\\computer.siemens.de\share) or
\\<IP address>\<share> (Example: \\192.168.1.1\share).
However, this path cannot be found since the network connection is
stored only symbolically in the registry.","In order to be able to open your project, please connect the share (without
the domain name) via
\\<Servername>\<share> (Example: \\COMPUTER\share).
Note:
If you have to enter the pathname via the IP address, you can establish a
connection between the IP address and the computer name in the ""hosts""
file. The file can be found with the Windows path ""\system32\drivers\etc""
(Example: C:\WINNT\system32\drivers\etc)."
Error number: Text: Cause: Remedy:,,,
3020:25,"Projects which are opened can not be archived.
Make sure that in non STEP 7 application objects
of the projects ... are opened in the directory C:...","The reason for this error message are blocked files, which are also
blocked though all the windows of editors and projects are closed. This is
possible when the program is activ and the last access was to the
archived project. Souch programs are not always to see as user window.","With WinCC or WinCC flexible will be started a SQL server which should be
stopped. You will find this in the task bar. You will also find here icons of
WinCC flexible, which are mini web or smart server. If you will stop these
applications the archiving should be possible again. If not, then start the task
manager and check in the process list whether the process ""hmies.exe"" is
activ. If you delete this process, then the archiving should be possible again."
3020:47,,"This processing status is triggered by PKUnZip in different situations, in
particular always when an existing project is overwritten during
dearchiving and in the dearchiving options the entry ""Overwrite objects
with identical names"" is not set to ""All Files"".",In this - most common - case you can ignore the message.
,,"The archive file has not been created with PKZip. In particular archives
that have been created with WinZip or ""PKZip for Windows"" and contain
""long file names"" can lead to this error.",Execute dearchiving with the archiving program used to create the archive.
,,"The archive file has been created with a version of PKZip that is newer
than the version of PKUnZip that is installed on the computer.","If you are using an old version of PKUnZip, install the latest version."
,,"The archive file is damaged. Checksum errors (so-called CRC errors)
have been detected for one or more files. Therefore the files could not be
dearchived correctly. The cause of such checksum errors can in particular
be:
damaged floppy disks, transfer errors when copying,
in particular with network drives, file transfer or e-mail,
or at the time of archiving the project or parts of it were still open.","Try to get a good copy of your archive file. If this is not possible, you can try
to save what is possible to save using the repair option of PKZip. Start the
MS-DOS prompt and enter the command 'pkzipfix archiv'. A file is created
called pkfixed.zip - if pkzipfix can even identify the file as being ZIP-
c o m patible. From the SIMATIC Manager dearchive the file pkfixed.zip
instead of your original archive file."
,,"The directories in the archive file have too great a nesting depth to be
able to be unpacked under the specified target directory. PKUnZip cannot
create any directories whose absolute path name is longer than 66
characters (from the drive designation to the ‘\’ at the end of the path).","You can either dearchive the archive file with PKUnZip as follows: select the
target directory for dearchiving the Root directory of drive. Close all the
STEP 7 applications. Move the dearchived project directory with the
Explorer to the location where the project is to be stored. Start the SIMATIC
Manager and open the project via the ""Browse"" button in the ""Open"" dialog.
Or you can use WinZip or PKZIP 2.50 directly at the required location."
,,"The project already exists and individual files could not be overwritten
when dearchiving, because they are write-protected.","Delete the file attribute ""write-protected"". You can do this for example for
individual files from the Explorer via the file properties, or you start the MS-
DOS prompt, get into the project directory using ""cd"" and then enter the
command ""attrib -r /s"". Now repeat the dearchiving procedure.
D330"
Error number: Text: Cause: Remedy:,,,
,,"The project already exists and individual files could not be overwritten
when dearchiving, because the project or objects from the project are
already open.","Close all the STEP 7 applications, restart the SIMATIC Manager and
dearchive the project without opening the project to be overwritten
beforehand."
,,,
,,,
3020:49,"Unable to retrieve the project. The archive file
might be defective.","The archive file has not been created with PKZip. In particular archives
that have been created with WinZip or ""PKZip for Windows"" and include
""long file names"" can lead to this error.",Dearchive using the archiving program with which the archive was created.
,,"The archive file has been created with a version of PKZip that is newer
than the version of PKUnZip installed on this computer.","If you are using an old version of PKUnZip, then install the latest version."
,,The archive file is damaged.,"Try to get a good copy of your archive file. If this is not possible, you can try
to save what is possible to save using the repair option of PKZip.
1. Start the MS-DOS prompt and enter the command 'pkzipfix archiv'. A file
is created called pkfixed.zip - if pkzipfix can even identify the file as being
ZIP-compatible. From the SIMATIC Manager dearchive the file pkfixed.zip
instead of your original archive file."
,,"The data medium or the directory in which the dearchived project is to be
stored is write-protected, or you have no write authorization for the
network drive.","Remove the write-protection or obtain write authorization for the network
drive or dearchive the project into a different directory."
3022:4121,"The FB is not available
The instance declaration is missing","If during compilation in S7-PDIAG the mentioned error message, then it is
probably the case that the S7-PDIAG blocks have also been copied from
another STEP 7 during the copying procedure. This is not permissible,
because the associated SFBs are then no longer up to date.","1. Delete all SFBs. Open and save the FBs, FCs and OBs, which fetches
the SFBs from the current library.
2. Now compile the blocks of the S7 program again with S7-DIAG, which
should solve the problem."
,,,"Make the Check Block Consistency and compile the complete STEP 7
program."
3022:4121,"Invalid data type..."",","The error message is probably caused by an associated value with an
invalid data type. Please also refer to the information in the Online Help of
S7-DIAG concerning the data types that are valid for associated values.","Excerpt of the Online Help of S7-PDIAG:
""This associated value can have a parameter of the type BOOL, BYTE,
CHAR, WORD, INT, DWORD, DINT or REAL from the E, A, M or DB areas.
Likewise you can enter local variables of an FB to which an error definition is
attached. These are extended upon generation according to the type
instance concept."
3280:503,"The registry database is not set up correctly for the
SIMATIC Manager. Install STEP 7 again.",Installation is faulty.,
Error number: Text: Cause: Remedy:,,,
3280:708,"No objects can be copied or moved from
projects/libraries of the current version to
projects/libraries of version 2.x.","In STEP 7 there is no downward compatibility, the data management in
V2 and >V3 is not the same, so blocks created with STEP 7 V3 or higher
cannot be copied or moved into V2.x projects .","An attempt was made to copy or move an object from a version V3 project
or from a version V3 library into a version V2 project or library. This is not
possible because of incompatibility."
3280:709,"The project or the library '%1' is on a write-
protected medium.","The project is either located on a write-protected floppy disk or you do not
have write authorization for the drive.","Remove the write-protection if you want to modify objects in this project.
Please see the instruction by error message 256:92."
,,"The project catalog was released in the Windows Explorer with read/write
access.","Release higher-level catalog of the project (e.g. Step7\S7Proj) for access
via network drive."
3280:712,"File name entered is not valid.
Project is invalid.
(If you attempt to open a project)",,Please see the informations by error message 3020:13.
3280:999,The internet explorer is not installed in your PC.,"STEP 7 V5 has been installed without the Internet Explorer and you are
trying to start the ONLINE Help.",Please install the Internet Explorer V4.0 and then reinstall STEP 7.
,,"The ONLINE Help was started and the Internet Explorer was installed
after the installation of STEP 7.",Reinstall STEP 7.
3531:1,The diagnostic block could not be created.,"Standard blocks in the program originate from the PLC and not from the
library.
If the project has been created per upload by the PLC with an earlier
version of STEP 7 or standard blocks have been copied from the PLC
into the offline program, then the interface of the SFBs and SFCs in the
project only has a Default Symbolic (parameter name = ""IN0"", ""IN1"" etc.
instead of symbolic names as described in the Help). In this case the
same error is reported.","Check your interface to the user block.
If your user program contains standard blocks with Default Symbolic, then
please delete these SFBs and SFCs and reinsert them from the library. This
corrects the interface of these blocks."
3534:63,"While reporting a system error: an internal error
has ocurred","To be able to generate the reference data without this message, proceed
as follows:
1. Delete Diagnostics-FB49 and Diagnostics-DB49 from your STEP 7
Project resp. Block container.
2. Newly generate the reference data by selecting the block container and
the menu task Extras > Reference data > generate.
This message does no longer appear when generating reference data.","You can regenerate the FB49 and DB49 in the Hardware-configuration as
follows:
1. Highlight the CPU with the cursor. Under ""Extras > reporting system
errors... > Register: General"", you can now newly generate the Diagnostics-
FB and the Diagnostics-DB. Finally, save and translate the Hardware
configuration once more.
2. You can also newly generate the Diagnostics-FB and the Diagnostics-DB
by means of ""Save and translate"" if you change the following setting: Under
""Station > Properties ... > Register: Settings"" the option ""Calling when saving
and translating"" has to be activated."
3534:94,Inconsistent of hardware configuration,"The hardware configuration is either inconsistent or it was made changing
which are not still save and compiled.","If it is not possible to compile the hardware configuration after this message,
so make a little change in the hardware configuration. After it is possible
again to save and compile."
Error number: Text: Cause: Remedy:,,,
4050:1,,"The resources file for this language is not in the directory in which you
have installed this program. This is why the menus, dialog boxes and the
online Help are in English in S7-PLCSIM.","Install the files that are required for the language desired. If necessary,
reinstall S7-PLCSIM and select the required language."
4050:2,,"Closing the subwindow ""CPU"" simultaneously closes the simulation
session. However, you can close a CPU and start a new simulation
session with another CPU.","Make sure that you always have on subwindow open in S7-PLCSIM. If you
need more space on your screen, you can reduce the subwindow to icon
size."
4050:3,,"You can only change the MPI address if there are no applications linked
with the simulation.",Close all the associated applications or disconnect from the simulation.
4050:4,,"You can only ever have one simulated automation system activated. If
you open a second simulated automation system, the one opened first is
closed. If you want to continue the function, press ""Yes"". Press ""No"" to
cancel.",
4050:5,,"You cannot exit S7-PLCSIM if there is still a connection set up to STEP 7
(e.g. SIMATIC Manager, variable table, program editor). STEP 7 indicates
in a message that the connection to the CPU has been interrupted. You
can then continue working offline.","Before exiting S7-PLCSIM you must close the associated applications in
STEP 7 or clear down the connection to STEP 7. (In order to disconnect the
SIMATIC Manager from S7-PLCSIM you must close both the online program
and the offline program.)"
4050:6,,"When doing an overall reset (MRES), all the blocks are deleted and the
memory of the simulated automation system is reset.","If you want to abort the overall reset, click ""No"". If you wish to do an overall
reset, click ""Yes"" to continue the function."
4050:7,,"You have attempted to open a simulation that has just recently been
used, but which is no longer available or cannot be found. S7-PLCSIM
deletes the file name from the menu.","Find the simulated program using the menu command Simulation > Open
PLC. If the program is no longer available, you must recreate the simulation."
4050:100,,"The address you have specified has a format that STEP 7 does not
support.","Enter the address in a format that is supported by STEP 7 (IEC or
SIMATIC).
Examples:
IEC: PIB0, PQB0, PIW2, PQW2, I0.0, Q0.0
C1SIMATIC: PEB0, PAB0, PEW2, PAW2, E0.0, A0.0, Z1"
4050:101,,"The value you have entered is not in the valid range for the selected
format. For example, you cannot enter ""FF"" (hexadecimal value) in a field
in which binary values are supposed to be entered.",Enter the value in a valid format or change the format of the field.
4050:102,,The value you have entered is not a decimal number.,"Enter decimal number (e.g. 0, 1, 13)."
4050:200,,"Since there is a danger of changing an actual online program by mistake,
you cannot communicate with ""real"" CPUs whilst the simulation is
activated.","Close all the windows and applications that have been used in the
simulation of your program before going online with an actual CPU."
4299:158,No connection to FM355/455.,Old firmware on the FM.,Upgrade the firmware of FM.
Error number: Text: Cause: Remedy:,,,
4431:2011,"The Authorisation for SIMATIC PDM is not
installed. SIMATIC PDM could not be started.","Authorization permitting you to integrate SIMATIC PDM in STEP 7 is
missing. This authorization is an option authorization that has to be
installed in addition to the basic authorization of SIMATIC PDM.","You must install the additional authorization for integrating SIMATIC PDM in
STEP 7."
4502:298,System error 33,"This meesage appears during the upload of the hardware configuration. It
is possible that the load of the SDBs was not complete or incorrect.","Make a reset of the CPU modul and load the hardware configuration of the
offline project again."
4502:625,"An error occured while creating or interpreting the
system SDB's...."".
Error while creating systemdata...."".","Regarding mentioned messages occur while saving and translating in HW
config if the following applies:
1. You projected and assigned a CP to a subnet in your Hardware
configuration. Files with the extension .""err"" are missing in the folder
""<Siemens-index>\Step7\S7WBX\RUL"".
2. Files with the extension .""err"" will be deleted by some optimization
programs - like e.g. TuneUp.","Step7 has to be reinstalled or the missing "".err"" files have to be copied from
a different computer in order to be able to translate the hardware
configuration again.
Attention:
If you copy the files from a second STEP 7 installation, please make sure
that this installation contains exactly the same STEP 7 version, the same
servicepack and the same hotfix."
4561:142,"The Authorisation for Standard PID Control is not
installed.",..,..
"Meldung von
Baugruppen",,,
D033,Error of protokol,Job jam on the CPU.,"In the HW Config increase the setting for the communications load for the
CPU."
D042,Error during notice by module status of CPU400.,"A PQW is being monitored. You cannot read back PQWs, the CPU then
reports this error.",Monitor values with VAT and wait for new CPUs.
D043,Error of data: The reference order is not available.,"When controlling using Variable Monitoring it might happen that if too
many control jobs are sent to the CPU, they are rejected by the CPU
because its buffer is full.",Acknowledge the message and reduce the frequency of control jobs.
D062,"Resources error, job list is too full.",,Please see the informations by error message 33:53346.
D063,,,Same as D064
D064,,"CPU 300 does not delete trigger events, the events then build up.","Switch CPU off/on. Problem cleared in the following CPUs:
6ES7 313-1AD01-0AB0
6ES7 314-5AE01-0AB0
6ES7 314-1AE02-0AB0
6ES7 315-1AF01-0AB0
6ES7 315-2AF01-0AB0"
D0AA,"D0AA: The time limit is exceeded in process
operating.",Communications load is too high.,Increase the communications load of the CPU from (default) 20% to 50%.
Error number: Text: Cause: Remedy:,,,
,,"Message appears with the function ""Control via VAT"" to an address from
the memory areas I, O, M, Timer, Counter, DB, which is not available in
the broadest sense.","Please check the syntax of the address in the VAT, or whether the address
is available in the system or perhaps not addressable (wiring fault, hardware
fault)."
D204,"D204: An error in the rules of coordinating has
occured.","When attempting to load system data, in the background a variable table
was still open online.",Close the variable table and retransfer the system data.
D20C,"The OB can not be copied because the belong
layer is not available.","Message comes from a CPU. An attempt is being made to transfer an OB
onto this CPU, which is not permissible.","If possible, rename the OB or even delete it in the OFFLINE database and
retrigger the transfer."
D240,An error in the rules of coordinating has occured.,"Occurs if a block that is to be overwritten online is still being accessed. In
V4.01 with blocks in the call environment.","Deactivate the setting ""Call path with test/call environment"", then the block
can be downloaded."
,An error in the rules of coordinating has occured.,Occurs when an object is accessed online (also VAT).,Close everything except HW Config.
,"Error during opening of a empty document. Error
during opening of a symbolic table.","An incompatible OPC Manager is installed. In the system path of
Windows vcf1.lic is responsible for this.",Delete this file and the file vcf132.ocx and reinstall STEP 7.
,"Setup does not start with error message: in
function ""Sdbitmap"":unable to crate dialog make
sure the _isres.dll is in _setup.lib",The _isres.dll is needed for switching languages.,"Start Setup with the extension ol:b, then the Setup is forced to start in
English."
D280,"Error during compilation of a modul in S7-300. The
module OB1 could not be copied.","This message appears, when the defined variable (marker, in- or output)
in a module is not in the power range of the CPU.","Example, this message appears if the number of outputs is 8192 byte by the
CPU and you have defined a variable outside of this range. Check the
addresses with the definition of your variables."
D406,The requested informations are not available.,Number of possible connections has been exceeded.,"Check the connections and reduce where appropriate. Static connections
can be converted into dynamic connections."
EA 02,"The protocols of communication software (S7DOS)
and the interface module (CP) are not compatible.","The customer has a STEP 7 V5+SP1 + recent PDM and a CP 443-5 Ext
> V2.7. The new RPC 7 protocol is used for data record routing between
the CP and S7DOS. Unfortunately the CP up to version V2.7 does not
support this function.",Upgrade CP 443-5 to a version >V2.7.
,,"The user is using the correct components STEP 7 V5 + SP2 + PDM, but
has a CP that does not have the DSGW.","Check the configuration and replace the CP being used with a different CP
that has this function."
Set PG/PC interface,,,
None,"Error message by diagnostic: ""Profibus/MPI
Network diagnostic"".
Error: requested parameter could not be read from
the register data basis!",Firmware/driver error,This behavior no longer occurs in SOFTNET PROFIBUS S7 V5.0.
Message without numerical order,,,
S7OTBLSTX,"Incompatible versionen by S7OTBLDX.DLL and
S7OTBLSX.DLL.",S7 applications are still running at Setup of STEP 7.,Please close all S7 applications and restart SETUP.
Error number: Text: Cause: Remedy:,,,
,,"STEP 7 has been installed on a computer on which an S7 options
package or version of ProTool /WIN CC is already installed which is not
compatible with the version of STEP 7.","Please search for ""S7OT*.*"" on all your local drives and delete them. Then
please restart the Setup of STEP 7."
